"法人"
"仕訳日記帳"
00000080,"株式会社　アイティードゥ                "
"自 7年10月 1日","至 8年 9月30日","月分"
"日付","決修","伝票番号","部門ｺｰﾄﾞ","借方ｺｰﾄﾞ","借方名称","借方枝番","借方枝番摘要","借方枝番ｶﾅ","貸方ｺｰﾄﾞ","貸方名称","貸方枝番","貸方枝番摘要","貸方枝番ｶﾅ","金額","摘要","税区分","対価","仕入区分","売上業種区分","仕訳区分","ﾀﾞﾐｰ1","ﾀﾞﾐｰ2","ﾀﾞﾐｰ3","ﾀﾞﾐｰ4","ﾀﾞﾐｰ5","手形番号","手形期日","付箋番号","付箋コメント"
